Name,Decision
apoc.agg.first,CORE
apoc.agg.graph,CORE
apoc.agg.last,CORE
apoc.agg.maxItems,CORE
apoc.agg.median,CORE
apoc.agg.minItems,CORE
apoc.agg.nth,CORE
apoc.agg.percentiles,CORE
apoc.agg.product,CORE
apoc.agg.slice,CORE
apoc.agg.statistics,CORE
apoc.algo.allSimplePaths,CORE
apoc.algo.aStar,CORE
apoc.algo.aStarConfig,CORE
apoc.algo.cosineSimilarity,EXTENDED
apoc.algo.cover,CORE
apoc.algo.dijkstra,CORE
apoc.algo.dijkstraWithDefaultWeight,CORE
apoc.algo.euclideanDistance,EXTENDED
apoc.algo.euclideanSimilarity,EXTENDED
apoc.any.properties,CORE
apoc.any.property,CORE
apoc.atomic.add,CORE
apoc.atomic.concat,CORE
apoc.atomic.insert,CORE
apoc.atomic.remove,CORE
apoc.atomic.subtract,CORE
apoc.atomic.update,CORE
apoc.bitwise.op,CORE
apoc.bolt.execute,EXTENDED
apoc.bolt.load,EXTENDED
apoc.case,CORE
apoc.cluster.graph,EXTENDED
apoc.coll.avg,CORE
apoc.coll.combinations,CORE
apoc.coll.contains,CORE
apoc.coll.containsAll,CORE
apoc.coll.containsAllSorted,CORE
apoc.coll.containsDuplicates,CORE
apoc.coll.containsSorted,CORE
apoc.coll.different,CORE
apoc.coll.disjunction,CORE
apoc.coll.dropDuplicateNeighbors,CORE
apoc.coll.duplicates,CORE
apoc.coll.duplicatesWithCount,CORE
apoc.coll.elements,CORE
apoc.coll.fill,CORE
apoc.coll.flatten,CORE
apoc.coll.frequencies,CORE
apoc.coll.frequenciesAsMap,CORE
apoc.coll.indexOf,CORE
apoc.coll.insert,CORE
apoc.coll.insertAll,CORE
apoc.coll.intersection,CORE
apoc.coll.isEqualCollection,CORE
apoc.coll.max,CORE
apoc.coll.min,CORE
apoc.coll.occurrences,CORE
apoc.coll.pairs,CORE
apoc.coll.pairsMin,CORE
apoc.coll.partition,CORE
apoc.coll.randomItem,CORE
apoc.coll.randomItems,CORE
apoc.coll.remove,CORE
apoc.coll.removeAll,CORE
apoc.coll.reverse,CORE
apoc.coll.set,CORE
apoc.coll.shuffle,CORE
apoc.coll.sort,CORE
apoc.coll.sortMaps,CORE
apoc.coll.sortMulti,CORE
apoc.coll.sortNodes,CORE
apoc.coll.split,CORE
apoc.coll.subtract,CORE
apoc.coll.sum,CORE
apoc.coll.sumLongs,CORE
apoc.coll.toSet,CORE
apoc.coll.union,CORE
apoc.coll.unionAll,CORE
apoc.coll.zip,CORE
apoc.coll.zipToRows,CORE
apoc.config.list,EXTENDED
apoc.config.map,EXTENDED
apoc.convert.fromJsonList,CORE
apoc.convert.fromJsonMap,CORE
apoc.convert.getJsonProperty,CORE
apoc.convert.getJsonPropertyMap,CORE
apoc.convert.setJsonProperty,CORE
apoc.convert.toBoolean,CORE
apoc.convert.toBooleanList,CORE
apoc.convert.toFloat,CORE
apoc.convert.toInteger,CORE
apoc.convert.toIntList,CORE
apoc.convert.toJson,CORE
apoc.convert.toList,CORE
apoc.convert.toMap,CORE
apoc.convert.toNode,CORE
apoc.convert.toNodeList,CORE
apoc.convert.toRelationship,CORE
apoc.convert.toRelationshipList,CORE
apoc.convert.toSet,CORE
apoc.convert.toSortedJsonMap,CORE
apoc.convert.toString,CORE
apoc.convert.toStringList,CORE
apoc.convert.toTree,CORE
apoc.couchbase.append,EXTENDED
apoc.couchbase.exists,EXTENDED
apoc.couchbase.get,EXTENDED
apoc.couchbase.insert,EXTENDED
apoc.couchbase.namedParamsQuery,EXTENDED
apoc.couchbase.posParamsQuery,EXTENDED
apoc.couchbase.prepend,EXTENDED
apoc.couchbase.query,EXTENDED
apoc.couchbase.remove,EXTENDED
apoc.couchbase.replace,EXTENDED
apoc.couchbase.upsert,EXTENDED
apoc.create.addLabels,CORE
apoc.create.node,CORE
apoc.create.nodes,CORE
apoc.create.relationship,CORE
apoc.create.removeLabels,CORE
apoc.create.removeProperties,CORE
apoc.create.removeRelProperties,CORE
apoc.create.setLabels,CORE
apoc.create.setProperties,CORE
apoc.create.setProperty,CORE
apoc.create.setRelProperties,CORE
apoc.create.setRelProperty,CORE
apoc.create.uuid,CORE
apoc.create.uuids,CORE
apoc.create.virtual.fromNode,CORE
apoc.create.vNode,CORE
apoc.create.vNode,CORE
apoc.create.vNodes,CORE
apoc.create.vPattern,CORE
apoc.create.vPatternFull,CORE
apoc.create.vRelationship,CORE
apoc.create.vRelationship,CORE
apoc.custom.asFunction,EXTENDED
apoc.custom.asProcedure,EXTENDED
apoc.custom.declareFunction,EXTENDED
apoc.custom.declareProcedure,EXTENDED
apoc.custom.list,EXTENDED
apoc.custom.removeFunction,EXTENDED
apoc.custom.removeProcedure,EXTENDED
apoc.cypher.doIt,CORE
apoc.cypher.mapParallel,EXTENDED
apoc.cypher.mapParallel2,EXTENDED
apoc.cypher.parallel,EXTENDED
apoc.cypher.parallel2,EXTENDED
apoc.cypher.run,CORE
apoc.cypher.runFile,EXTENDED
apoc.cypher.runFiles,EXTENDED
apoc.cypher.runFirstColumn,CORE
apoc.cypher.runFirstColumnMany,CORE
apoc.cypher.runFirstColumnSingle,CORE
apoc.cypher.runMany,CORE
apoc.cypher.runSchemaFile,EXTENDED
apoc.cypher.runSchemaFiles,EXTENDED
apoc.cypher.runTimeboxed,CORE
apoc.data.domain,CORE
apoc.data.email,CORE
apoc.data.url,CORE
apoc.date.add,CORE
apoc.date.convert,CORE
apoc.date.convertFormat,CORE
apoc.date.currentTimestamp,CORE
apoc.date.expire,EXTENDED
apoc.date.expireIn,EXTENDED
apoc.date.field,CORE
apoc.date.fields,CORE
apoc.date.format,CORE
apoc.date.fromISO8601,CORE
apoc.date.parse,CORE
apoc.date.parseAsZonedDateTime,CORE
apoc.date.systemTimezone,CORE
apoc.date.toISO8601,CORE
apoc.date.toYears,CORE
apoc.diff.nodes,CORE
apoc.do.case,CORE
apoc.do.when,CORE
apoc.es.get,EXTENDED
apoc.es.getRaw,EXTENDED
apoc.es.post,EXTENDED
apoc.es.postRaw,EXTENDED
apoc.es.put,EXTENDED
apoc.es.query,EXTENDED
apoc.es.stats,EXTENDED
apoc.example.movies,CORE
apoc.export.csv.all,CORE
apoc.export.csv.data,CORE
apoc.export.csv.graph,CORE
apoc.export.csv.query,CORE
apoc.export.cypher.all,CORE
apoc.export.cypher.data,CORE
apoc.export.cypher.graph,CORE
apoc.export.cypher.query,CORE
apoc.export.cypher.schema,CORE
apoc.export.cypherAll,CORE
apoc.export.cypherData,CORE
apoc.export.cypherGraph,CORE
apoc.export.cypherQuery,CORE
apoc.export.graphml.all,CORE
apoc.export.graphml.data,CORE
apoc.export.graphml.graph,CORE
apoc.export.graphml.query,CORE
apoc.export.json.all,CORE
apoc.export.json.data,CORE
apoc.export.json.graph,CORE
apoc.export.json.query,CORE
apoc.export.xls.all,EXTENDED
apoc.export.xls.data,EXTENDED
apoc.export.xls.graph,EXTENDED
apoc.export.xls.query,EXTENDED
apoc.generate.ba,EXTENDED
apoc.generate.complete,EXTENDED
apoc.generate.er,EXTENDED
apoc.generate.simple,EXTENDED
apoc.generate.ws,EXTENDED
apoc.gephi.add,EXTENDED
apoc.get.nodes,EXTENDED
apoc.get.rels,EXTENDED
apoc.graph.from,CORE
apoc.graph.fromCypher,CORE
apoc.graph.fromData,CORE
apoc.graph.fromDB,CORE
apoc.graph.fromDocument,CORE
apoc.graph.fromPath,CORE
apoc.graph.fromPaths,CORE
apoc.graph.validateDocument,CORE
apoc.hashing.fingerprint,CORE
apoc.hashing.fingerprintGraph,CORE
apoc.help,CORE
apoc.import.csv,CORE
apoc.import.graphml,CORE
apoc.import.json,CORE
apoc.import.xml,CORE
apoc.json.path,CORE
apoc.label.exists,CORE
apoc.load.csv,EXTENDED
apoc.load.driver,EXTENDED
apoc.load.html,EXTENDED
apoc.load.jdbc,EXTENDED
apoc.load.jdbcParams,EXTENDED
apoc.load.jdbcUpdate,EXTENDED
apoc.load.json,CORE
apoc.load.jsonArray,CORE
apoc.load.jsonParams,CORE
apoc.load.ldap,EXTENDED
apoc.load.xls,EXTENDED
apoc.load.xml,CORE
apoc.load.xmlSimple,CORE
apoc.lock.all,CORE
apoc.lock.nodes,CORE
apoc.lock.read.nodes,CORE
apoc.lock.read.rels,CORE
apoc.lock.rels,CORE
apoc.log.debug,EXTENDED
apoc.log.error,EXTENDED
apoc.log.info,EXTENDED
apoc.log.stream,CORE
apoc.log.warn,EXTENDED
apoc.map.clean,CORE
apoc.map.flatten,CORE
apoc.map.fromLists,CORE
apoc.map.fromNodes,CORE
apoc.map.fromPairs,CORE
apoc.map.fromValues,CORE
apoc.map.get,CORE
apoc.map.groupBy,CORE
apoc.map.groupByMulti,CORE
apoc.map.merge,CORE
apoc.map.mergeList,CORE
apoc.map.mget,CORE
apoc.map.removeKey,CORE
apoc.map.removeKeys,CORE
apoc.map.setEntry,CORE
apoc.map.setKey,CORE
apoc.map.setLists,CORE
apoc.map.setPairs,CORE
apoc.map.setValues,CORE
apoc.map.sortedProperties,CORE
apoc.map.submap,CORE
apoc.map.updateTree,CORE
apoc.map.values,CORE
apoc.math.maxByte,CORE
apoc.math.maxDouble,CORE
apoc.math.maxInt,CORE
apoc.math.maxLong,CORE
apoc.math.minByte,CORE
apoc.math.minDouble,CORE
apoc.math.minInt,CORE
apoc.math.minLong,CORE
apoc.math.regr,CORE
apoc.math.round,CORE
apoc.merge.node,CORE
apoc.merge.node.eager,CORE
apoc.merge.relationship,CORE
apoc.merge.relationship.eager,CORE
apoc.meta.cypher.isType,CORE
apoc.meta.cypher.type,CORE
apoc.meta.cypher.types,CORE
apoc.meta.data,CORE
apoc.meta.graph,CORE
apoc.meta.graphSample,CORE
apoc.meta.isType,CORE
apoc.meta.nodeTypeProperties,CORE
apoc.meta.nodeTypeProperties,CORE
apoc.meta.relTypeProperties,CORE
apoc.meta.relTypeProperties,CORE
apoc.meta.schema,CORE
apoc.meta.stats,CORE
apoc.meta.stats,CORE
apoc.meta.subGraph,CORE
apoc.meta.type,CORE
apoc.meta.typeName,CORE
apoc.meta.types,CORE
apoc.metrics.get,EXTENDED
apoc.metrics.list,EXTENDED
apoc.metrics.storage,EXTENDED
apoc.model.jdbc,EXTENDED
apoc.mongodb.count,EXTENDED
apoc.mongodb.delete,EXTENDED
apoc.mongodb.find,EXTENDED
apoc.mongodb.first,EXTENDED
apoc.mongodb.get,EXTENDED
apoc.mongodb.insert,EXTENDED
apoc.mongodb.update,EXTENDED
apoc.monitor.ids,EXTENDED
apoc.monitor.kernel,EXTENDED
apoc.monitor.store,EXTENDED
apoc.monitor.tx,EXTENDED
apoc.neighbors.athop,CORE
apoc.neighbors.athop.count,CORE
apoc.neighbors.byhop,CORE
apoc.neighbors.byhop.count,CORE
apoc.neighbors.tohop,CORE
apoc.neighbors.tohop.count,CORE
apoc.nlp.gcp.classify.graph,EXTENDED
apoc.nlp.gcp.classify.stream,EXTENDED
apoc.nlp.gcp.entities.graph,EXTENDED
apoc.nlp.gcp.entities.stream,EXTENDED
apoc.node.degree,CORE
apoc.node.degree.in,CORE
apoc.node.degree.out,CORE
apoc.node.id,CORE
apoc.node.labels,CORE
apoc.node.relationship.exists,CORE
apoc.node.relationship.types,CORE
apoc.node.relationships.exist,CORE
apoc.nodes.collapse,CORE
apoc.nodes.connected,CORE
apoc.nodes.delete,CORE
apoc.nodes.get,CORE
apoc.nodes.group,CORE
apoc.nodes.isDense,CORE
apoc.nodes.link,CORE
apoc.nodes.relationship.types,CORE
apoc.nodes.relationships.exist,CORE
apoc.nodes.rels,CORE
apoc.number.arabicToRoman,CORE
apoc.number.exact.add,CORE
apoc.number.exact.div,CORE
apoc.number.exact.mul,CORE
apoc.number.exact.sub,CORE
apoc.number.exact.toExact,CORE
apoc.number.exact.toFloat,CORE
apoc.number.exact.toInteger,CORE
apoc.number.format,CORE
apoc.number.parseFloat,CORE
apoc.number.parseInt,CORE
apoc.number.romanToArabic,CORE
apoc.path.combine,CORE
apoc.path.create,CORE
apoc.path.elements,CORE
apoc.path.expand,CORE
apoc.path.expandConfig,CORE
apoc.path.slice,CORE
apoc.path.spanningTree,CORE
apoc.path.subgraphAll,CORE
apoc.path.subgraphNodes,CORE
apoc.periodic.cancel,CORE
apoc.periodic.commit,CORE
apoc.periodic.countdown,CORE
apoc.periodic.iterate,CORE
apoc.periodic.list,CORE
apoc.periodic.repeat,CORE
apoc.periodic.rock_n_roll,EXTENDED
apoc.periodic.rock_n_roll_while,EXTENDED
apoc.periodic.submit,CORE
apoc.refactor.categorize,CORE
apoc.refactor.cloneNodes,CORE
apoc.refactor.cloneNodesWithRelationships,CORE
apoc.refactor.cloneSubgraph,CORE
apoc.refactor.cloneSubgraphFromPaths,CORE
apoc.refactor.collapseNode,CORE
apoc.refactor.extractNode,CORE
apoc.refactor.from,CORE
apoc.refactor.invert,CORE
apoc.refactor.mergeNodes,CORE
apoc.refactor.mergeRelationships,CORE
apoc.refactor.normalizeAsBoolean,CORE
apoc.refactor.rename.label,CORE
apoc.refactor.rename.nodeProperty,CORE
apoc.refactor.rename.type,CORE
apoc.refactor.rename.typeProperty,CORE
apoc.refactor.setType,CORE
apoc.refactor.to,CORE
apoc.rel.id,CORE
apoc.rel.type,CORE
apoc.schema.assert,CORE
apoc.schema.node.constraintExists,CORE
apoc.schema.node.indexExists,CORE
apoc.schema.nodes,CORE
apoc.schema.properties.distinct,CORE
apoc.schema.properties.distinctCount,CORE
apoc.schema.relationship.constraintExists,CORE
apoc.schema.relationships,CORE
apoc.scoring.existence,CORE
apoc.scoring.pareto,CORE
apoc.search.multiSearchReduced,CORE
apoc.search.node,CORE
apoc.search.nodeAll,CORE
apoc.search.nodeAllReduced,CORE
apoc.search.nodeReduced,CORE
apoc.spatial.geocode,CORE
apoc.spatial.geocodeOnce,CORE
apoc.spatial.reverseGeocode,CORE
apoc.spatial.sortByDistance,CORE
apoc.static.get,EXTENDED
apoc.static.get,EXTENDED
apoc.static.getAll,EXTENDED
apoc.static.list,EXTENDED
apoc.static.set,EXTENDED
apoc.stats.degrees,CORE
apoc.systemdb.execute,EXTENDED
apoc.systemdb.graph,EXTENDED
apoc.temporal.format,CORE
apoc.temporal.formatDuration,CORE
apoc.text.base64Decode,CORE
apoc.text.base64Encode,CORE
apoc.text.base64UrlDecode,CORE
apoc.text.base64UrlEncode,CORE
apoc.text.byteCount,CORE
apoc.text.bytes,CORE
apoc.text.camelCase,CORE
apoc.text.capitalize,CORE
apoc.text.capitalizeAll,CORE
apoc.text.charAt,CORE
apoc.text.clean,CORE
apoc.text.code,CORE
apoc.text.compareCleaned,CORE
apoc.text.decapitalize,CORE
apoc.text.decapitalizeAll,CORE
apoc.text.distance,CORE
apoc.text.doubleMetaphone,CORE
apoc.text.doubleMetaphone,CORE
apoc.text.format,CORE
apoc.text.fuzzyMatch,CORE
apoc.text.hammingDistance,CORE
apoc.text.hexCharAt,CORE
apoc.text.hexValue,CORE
apoc.text.indexesOf,CORE
apoc.text.indexOf,CORE
apoc.text.jaroWinklerDistance,CORE
apoc.text.join,CORE
apoc.text.levenshteinDistance,CORE
apoc.text.levenshteinSimilarity,CORE
apoc.text.lpad,CORE
apoc.text.phonetic,CORE
apoc.text.phonetic,CORE
apoc.text.phoneticDelta,CORE
apoc.text.random,CORE
apoc.text.regexGroups,CORE
apoc.text.regreplace,CORE
apoc.text.repeat,CORE
apoc.text.replace,CORE
apoc.text.rpad,CORE
apoc.text.slug,CORE
apoc.text.snakeCase,CORE
apoc.text.sorensenDiceSimilarity,CORE
apoc.text.split,CORE
apoc.text.swapCase,CORE
apoc.text.toCypher,CORE
apoc.text.toUpperCase,CORE
apoc.text.upperCamelCase,CORE
apoc.text.urldecode,CORE
apoc.text.urlencode,CORE
apoc.trigger.add,CORE
apoc.trigger.list,CORE
apoc.trigger.nodesByLabel,EXTENDED
apoc.trigger.pause,CORE
apoc.trigger.propertiesByKey,EXTENDED
apoc.trigger.remove,CORE
apoc.trigger.removeAll,CORE
apoc.trigger.resume,CORE
apoc.ttl.expire,EXTENDED
apoc.ttl.expireIn,EXTENDED
apoc.util.md5,CORE
apoc.util.sha1,CORE
apoc.util.sha256,CORE
apoc.util.sha384,CORE
apoc.util.sha512,CORE
apoc.util.sleep,CORE
apoc.util.validate,CORE
apoc.uuid.install,EXTENDED
apoc.uuid.list,EXTENDED
apoc.uuid.remove,EXTENDED
apoc.uuid.removeAll,EXTENDED
apoc.version,CORE
apoc.version,CORE
apoc.warmup.run,CORE
apoc.when,CORE
apoc.xml.import,CORE
apoc.xml.parse,CORE
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
